,Recall@20,MRR@20
original_rnn_TOP1-max_100_0.01_0_50,0.5373002754820937,0.2407969186138926
original_rnn_TOP1-max_100_0.01_0.1_50,0.5378787878787878,0.2412931298113559
original_rnn_TOP1-max_100_0.05_0_50,0.610840220385675,0.2749120425843421
original_rnn_TOP1-max_100_0.05_0.1_50,0.6091460055096419,0.27494245565935105
original_rnn_TOP1-max_1000_0.01_0_50,0.6142561983471074,0.29031487697986863
original_rnn_TOP1-max_1000_0.01_0.1_50,0.6132920110192838,0.2896425302240474
original_rnn_TOP1-max_1000_0.05_0_50,0.5993112947658402,0.2716788314077644
original_rnn_TOP1-max_1000_0.05_0.1_50,0.5972865013774105,0.2709188910955486
original_rnn_BPR-max_100_0.01_0_50,0.37312672176308537,0.15805135856923896
original_rnn_BPR-max_100_0.01_0.1_50,0.39582644628099173,0.1631222555064917
original_rnn_BPR-max_100_0.05_0_50,0.586129476584022,0.25909917463982074
original_rnn_BPR-max_100_0.05_0.1_50,0.5892424242424242,0.26216990306727156
original_rnn_BPR-max_1000_0.01_0_50,0.5626997245179063,0.25719807046073034
